hard_word,easy_word,example
거치,"공채, 사채 따위를 갚는 일이나 채권자에게 내어주는 일을 일정 기간 동안 하지 않는 일.",3년 거치 5년 상환 조건으로 돈을 융자하다.
거치식,"공채, 사채 따위의 상환이나 지급을 일정한 기간 하지 않는 방식.",대출 한도는 2000만 원이며 거치식으로 상환할 경우 1000만 원까지 대출할 수 있다.
건주,거래소에 상장된 주식.,건주를 한 번 둘러보세요.
건주,현재 매매가 약정되어 있는 주식.,건주를 매매할 날을 정해봅시다.
검량사,물건의 부피나 무게가 바르게 측정되었는지를 살펴보는 일을 직업으로 하는 사람.,"검수사, 감정사, 검량사는 국제무역을 할 때 화물의 품질 및 수량을 직접 확인하고 입증하여 국제무역 분쟁에서 중요한 공증적 증명 역할을 합니다."
검수,"화물을 본선에 싣거나 내릴 때, 그 화물의 개수를 계산하고 훼손 여부를 점검하는 일.",밤새 시달린 어부들은 선장으로부터 어획량에 대한 검수를 확인받고는 하나둘 선실로 들어가서 나동그라졌다.
검수표,화물을 본선에 싣거나 내릴 때 그 화물의 개수나 훼손 유무를 점검하였음을 증명하여 보이는 표.,검수표 확인은 철저해야 한다.
검재인,소재 장소에서 출하되어 보세 지역의 부두 가치장에 들여온 수출 화물의 용량을 전문적으로 검사하는 사람.,새로 온 검재인은 너무 깐깐하다.
검정인,선적 화물이 손상되었을 때 그 상태의 검사 및 감정을 전문적으로 하고 검정 보고서를 작성하는 사람.,검정인은 꼼꼼한 성격을 가져야 한다.
게걸음,주가가 일정 기간 크게 상승하거나 하락하지 않고 게가 걷는 것처럼 변동 없이 이어지는 상태.,사업이 영 게걸음만 치고 있다.
게이레츠,일본의 기업 집단을 이르는 말.,게이레츠는 일본어로 계열이라고 한다.
게이트,"컨테이너 터미널에서 화주, 수화인, 운송인, 운송 대리인과의 운송 확인 및 관리 책임 변경이 되면서 컨테이너 및 컨테이너 화물을 인수하거나 인도하는 곳.",8번 게이트에서 화물 운송이 일어나고 있다.
게젤샤프트,개인의 이해타산에 의하여 결합된 사회.,게젤 샤프트는 독일의 사회학자 페르디난트 퇴니스가 게마인샤프트(gemeinschaft)에 대비되는 개념으로 주장한 것이다.
격탁매매,"예전에, 거래소에서 딱따기를 쳐서 약정 가격을 성립시키던 매매 형식.",격탁매매(call trading) 예전 거래소에서 딱따기를 쳐서 주식 약정 가격을 성립시키던 매매를 말한다
견고지면,물자를 저장하기 위하여 단단하게 만든 지면.,주차장을 만들기 위해서는 좋은 견고지면이 필요하다.
견적가,공매할 때에 세무서장 등이 팔 수 있는 재산의 객관적인 시가를 기준으로 하여 결정한 최저 가격.,하자 보수 신청이 들어오면 1차로 가정집을 방문해서 하자 보수의 내용을 설명하고 즉시 견적가를 산출해서 고객에게 알려 준다.
견적액,운임에서 화물에 해당하는 비용을 파악하기 위해 견적을 낸 금액.,견적액이 너무 크다고 상대측에서 항의가 들어왔다.
견조,주가의 시세가 내리지 않고 높은 상태에 계속 머물러 있음.,대량 거래가 지속되고 있었기 때문에 승호는 여전히 견조의 수준이라는 판단을 내리고 주식의 매도를 미루었다.
결별점,"경제 성장 효용 체감 곡선에서, 행복 수준이 소득 수준과 서로 관계가 없어지는 지점.","결별점은 경제 성장의 효과가 급격히 감소하는 지점으로, 소득 수준이 높아지더라도 국민의 행복에는 큰 변화가 없다."
결손금,일정한 기간 동안 수입보다 지출이 많아서 생긴 손실의 금액,"90년도 세계 잉여금은 통화의 안정적 관리를 위해 재정 증권이자, 외국환 평형 기금 결손금 보전 등 국가 채무 상환에 우선적으로 사용키로 했다."
결제,증권 또는 돈을 주고받아 사고파는 당사자 사이의 거래 관계를 끝맺는 일.,아버지는 돌아오는 어음의 결제를 거부했다.
결제소,증권 거래소가 증권 거래를 집행하기 위하여 설립한 기관.,아침 일찍 결제소에서 업무를 보고 돌아왔다.
겸업주의,하나의 금융 기관이 예금 대출 업무부터 증권 관련 업무까지 모든 금융 업무를 수행할 수 있는 제도.,겸업주의는 금융회사가 은행ㆍ증권ㆍ보험 등 여러 금융서비스를 취급하도록 허용한다. 이에 반해 전업주의는 은행ㆍ증권사ㆍ보험사 등이 각각 고유의 서비스만 제공한다.
겹곱수,경제 분석에 이용하는 수치의 하나.,겹곱수는 경제 분석에 이용하는 수치의 하나. 투자 증가분이 소득 증가에 미치는 효과와 그 소득 증가가 일으키는 효과를 종합하여 나타낸다.
겹리,복리법으로 계산된 이자.,겹리로 계산하세요.
겹악재,증권 거래소에서 시세 하락의 원인이 겹쳐서 나타나는 조건.,"일본 증시가 엔고와 지표, 실적 부진 등의 겹악재로 이틀째 하락세다."
겹호재,"증권 따위의 거래에서, 시세 상승의 요인이 되는 둘 이상의 조건.",전날 코스피는 글로벌 겹호재로 급등세를 나타냈다.
경과물,이미 발행이 완료된 채권.,회사채 시장은 전날과 다름없이 한산했다. 신규 발행 물량이 거의 없었고 경과물도 많지 않았다.
경기,매매나 거래에 나타나는 호황ㆍ불황 따위의 경제 활동 상태.,가 회복되어 수출이 활기를 띠고 있다.
경기주,경기의 상태에 민감한 영향을 받는 산업의 주식.,투자자들은 기술주를 팔아 금융주와 경기주를 매수하는 양상을 뚜렷하게 보여 줬다.
경매매,물건을 사고파는 방법의 하나.,경매매를 통해서 그림이 팔렸다.
경매업체,경매와 관련된 일에 종사하는 기업체.,재단은 해당 그림을 2010년 한 미술품 경매업체를 통해 180만 원에 구입했다.
경매제,경쟁이 붙은 물품이나 사업 따위에서 가장 높은 가격 또는 가장 적절한 계획을 제시하는 사람이나 단체에게 소유권을 주는 제도.,반면에 경매제는 특정 사업자가 제시한 금액에 대해 더 이상의 제시액이 없을 때까지 입찰을 계속해 최고가를 제시한 사업자를 선정하는 방식.
경비율,"보험에서, 수입 보험료에 대한 사업비의 비율.",국세청은 80개 업종의 단순 경비율은 높였고 28개 업종은 낮췄다.
경사생산,기초 산업의 생산을 회복한 다음 다른 산업의 생산 확대를 도모하는 방식.,경사생산(傾斜生産)은 철강·석탄 등 생산 기반을 확립하기 위하여 가장 기초적이며 결여될 수 없는 물자의 생산에 중점을 두고 그 밖의 물자에 대해서도 같은 관점에서 그 중요도에 따라 집중적으로 생산하는 방식을 말한다.
경원,‘경제 원조’를 줄여 이르는 말.,그 나라는 전쟁 이후 파탄이 난 경제를 외국의 경원을 통해서 극복했다.
경쟁값,완전한 자유 경쟁이 행해지는 시장에서 수요자나 공급자가 서로 경쟁함으로써 이루어지는 가격.,그 업체는 경쟁값을 놓쳐 사업에 실패했다.
경쟁도,과점 기업 간의 경쟁의 정도.,자동차의 수요층이 폭발적으로 확대되면서 자동차 회사들의 판매 경쟁도가 갈수록 높아지고 있다.
경쟁업,비슷한 종류의 사업 영역에서 서로 경쟁이 이루어지는 사업.,기술 진보로 경쟁업 전환 토대가 만들어지면서 증권을 반드시 한 기관에서만 관리할 필요가 없어지게 됐다는 것이다.
경제,인간의 생활에 필요한 물건이나 노동을 생산ㆍ분배ㆍ소비하는 모든 활동. 또는 그것을 통하여 이루어지는 사회적 관계.,요즘 서민들은 경제 사정이 좋지 않다.
경제권,국제적ㆍ국내적으로 여러 가지 경제 활동이 뚜렷하게 교류되고 있는 일정한 범위 안의 지역.,강대국들은 약소국의 경제권과 사법권을 빼앗아 식민지로 삼았다.
경제력,경제 행위를 하여 나가는 힘.,부동산 경기의 침체에도 불구하고 최 노인은 아직도 그 바닥에서 경제력이 있는 인물로 통한다.
경제비,국가가 국민 경제의 발전을 위하여 지출하는 경비.,이번 년도 예산에서 경제비가 늘었다.
경제사,경제 발전의 역사.,이 책은 우리나라의 역사를 특히 경제사 중심으로 서술하고 있다.
경제사,경제 활동의 역사를 연구하는 학문.,경제사는 지루하다.
경제사상,인류가 재화를 획득하고 사용함으로써 생활을 유지하고 향상시키려는 사상.,친구는 위대한 개혁 사상가였던 조선의 이이와 중국 북송 시대의 왕안석의 경제 사상을 통해 대안적 경제론을 모색하고 있다 한다.
경제사적,경제사와 관련되는. 또는 그런 것.,경제사적인 면에서 볼 때 윤리의 문제는 경제 발전 단계에 따라 그 내용이 다양하다.
경제사학,경제 활동의 역사를 연구하는 학문.,이것은 76경제사학-계81년 유럽 대륙의 경제사학계를 진동시킨 유명한 논쟁이다.
경제생활,사람이 살아가는 데 필요한 재화나 용역을 생산ㆍ교환ㆍ분배ㆍ소비하는 모든 활동.,"노동은 모든 경제생활 내지 사회생활의 기초요, 그러므로 존귀한 것이다."
경제인,경제계에서 활동하는 사람.,국내의 주요 경제인들이 한자리에 모여 국가 경제가 처한 문제를 이야기했다.
경제재,경제적 가치를 가지며 점유나 매매 같은 경제 행위의 대상이 되는 재화.,경제재(經濟財)의 성격이 강한 프로그램의 저작권은 양도가 가능하다.
경제주의,경제적 이익을 무엇보다 중시하여 경제 정책을 합리적으로 실현하려는 사상.,스탈린의 사회주의 생산 양식론 또한 생산력주의-경제주의에 빠져들었다고 그는 비판하고 있다.
경제특구,일반 지역과는 달리 경제 면에서 특별 우대 정책이 적용되는 지역.,만일 경제특구로 동북아 경제 중심지를 건설하려면 한국 전체를 경제특구로 만들어야 될 것이다.
경제표,경제 순환의 전 과정을 그림으로 나타낸 표.,경제표로 공부하면 직관적으로 공부할 수 있다.
경제학,경제 현상을 분석하고 연구하는 학문.,인간은 합리적인 선택을 할 줄 알고 시장은 늘 효율적이라는 기본 전제에서부터 세금 인상은 기업 활동을 위축시키며 외국인 노동자의 유입은 국내 일자리를 줄이고 무역은 모두에게 이득이 된다는 논리는 경제학을 배운 많은 사람에게는 상식처럼 받아들여진다.
경제학계,경제학과 관련된 연구 및 저술에 종사하는 학자들의 활동 분야.,"이 기관지는 한국 경제학계의 사학 전공자들의 연구 논문, 실태 분석 보고 등을 내용으로 하고 있다."
경조,거래 시장에서 살 사람이 많아 가격이 오르는 형세.,이 주식은 경조다.
경조전신환,경조전보에 곁들여서 축하금이나 조의금을 부치는 전신환.,경조전신환은 각종 축하금이나 조위금등을 경조용통신문과함께 송달하는제도다.
경착륙,활기를 띠던 경기가 갑자기 침체되면서 주가가 폭락하고 실업자가 급증하는 일.,경기의 경착륙이 우려된다.
경통화,언제든지 금이나 다른 화폐로 바꿀 수 있는 화폐.,"경통화에는 미국의 달러, 스위스의 프랑이 있다."
경합성,소비자가 늘어나면 기존 소비자의 소비량은 줄어드는 속성.,흔히 자산에는 경합성이 있다고 한다.
경합재,한 사람이 재화나 서비스를 소비하면 다른 사람이 그 재화나 서비스를 소비할 수 있는 양이 감소하는 재화.,경합재의 반대말은 공공제이다.
경험급,근무 연수를 인정하여 지급하는 임금.,대리님은 경험금 얼마 받으셨어요?
경험재,직접 사용해 보아야만 품질이나 특징 따위를 알 수 있는 상품.,우선 연구진은 경험재 관련 포스트가 물질재보다 상대적으로 덜 자기과시적인 형태로 해석 가능해 더 긍정적인 영향을 미친다는 사실을 발견했다.
경험표,생명 보험 회사에서 피보험자의 생존이나 사망 따위의 실제적인 경험을 기초로 하여 만든 사망률에 관한 표.,경험표' 또는 '경험사망표'라고도 한다. ​세계에서 가장 오래된 생명보험회사인 영국의 에퀴터블생명보험사가 1834년에 발표한 '경험생명표'가 세계 최초이다.
경협,‘경제 협력’을 줄여 이르는 말.,양국은 경협의 증대에 합의하였다.
경화,동전,당황한 기분으로 이곳저곳을 뒤졌더니 다행히도 경화까지 합쳐 9천 원을 채울 수 있었다.
경활,"재화나 용역의 생산과 소비, 소득이나 부(富)의 분배 따위의 경제 분야에 관련된 모든 개별적인 행동.",남자 경활참가율은 여자 경활참가율보다 높게 나타난다.
계산 구역,유가 증권을 매매할 때에 전날 후장(後場)과 당일 전장(前場)의 단기 청산 거래의 계산 기간.,계산 구역 값을 확인해보세요.
계선점,선박 회사가 선박을 놀리는 것과 운항 서비스를 시작하는 것을 결정하는 운임 이익의 계산 시점.,"계선점이란 항상 일률적인 것이 아니어서 강한 경쟁력을 유지하고 있는 신조선의 경우에는 대체로 낮고, 선령이 높을수록 높다."
계열,대기업과 중소기업 사이에 볼 수 있는 기업 결합 형태의 하나.,그녀는 대기업 계열의 광고 회사에 취직했다.
계열사,경영주가 같거나 사업 계통이 같아서 서로 밀접한 관련이 있는 회사.,그룹 회장이 계열사 사장단 회의를 소집하였다.
계열주,동일한 계열에 있는 기업들의 주식.,지난주 장외 주요 종목은 대기업 계열주의 하락으로 약세를 보였다.
계열화,기업 사이에 일상적인 거래 관계 이상의 연계가 이루어짐. 또는 그렇게 만듦.,우리 회사는 외국의 금융 업체와 계열화 관계에 놓일 수도 있다.
계장공,"기계, 급배수, 전기, 가스, 위생, 냉난방 등의 공사에서 전문적으로 계기를 설치하거나 점검하는 사람.","산업현장에서 계장공은 자동제어반의 설계, 제작, 유지보수, 현장설치업무를 주로 담당하고 있다."
계절주,계절적 수요 집중과 관련하여 주가 변동이 일시적으로 크게 달라지는 회사의 주식.,"판매량이 여름철에 집중되는 청량음료나 맥주 회사 주식, 연말연시에 인기가 높은 백화점 주식 등이 계절주이다."
계좌군,동일한 목적으로 만들어 운용하고 있는 개인이나 법인명으로 된 다수의 계좌.,이 관계자는 거래소는 금융 거래 정보 요구권이 없기 때문에 계좌주 명의 정도만 파악할 수 있다며 이상 매매 패턴이 보이는 여러 계좌군을 정리해 금융 감독원에 넘겼다고 말했다.
고,"예전에, 여러 사람이 공동 투자로 사업을 할 때에, 이들 투자자가 각각 내던 자본금.",고가 클 수록 사업의 규모가 커진다.
고가주,상장 주식의 주가 평균에 비하여 주가가 높은 주식.,일반적으로 자본금이 적고 기업의 영업 실적이나 업종 내용이 좋은 종목에 고가주가 많다.
공급품,소비자의 요구에 따라 제공하는 물품.,이건 공급품 취급 안해요.
공기업,공업을 위주로 하는 기업,공기업은 공익성을 목적으로 해야 한다.
공기업체,공공의 복지와 밀접한 관계를 가져 정부나 지방 자치 단체가 자금을 대고 경영하는 기업체,요즘 공기업체에 취직하기는 하늘의 별 따기만큼이나 어렵다.
공로주,주식회사에서 그 회사의 설립이나 발전에 공로가 있는 사람에게 무상(無償) 또는 평가(平價)로 주는 주식.,올 초에 아버지는 회사에서 공로주를 받으셨다.
공매,주가 상승에서 생기는 차익금을 노리고 실물 없이 주식을 사는 행위.,국영 아파트가 공매에 부쳐지더라도 거기에는 당국이나 시공업자의 성실성보다는 먼저 소문이 작용을 합니다.
공매도,주가 하락에서 생기는 차익금을 노리고 실물 없이 주식을 파는 행위.,현실적으로 공매도는 허용되고 있지 않다.
공매매,매매할 물건의 시가 변동을 짐작하고 그 차액을 이득으로 하기 위한 매매 거래.,신용 거래에는 공매매에 의한 투기를 방지하기 위해 제한이 가해지고 있다.
공매수,주가 상승에서 생기는 차익금을 노리고 실물 없이 주식을 사는 행위.,올들어 공매수가 급격하게 증가하였다.
공매자,주가 하락에서 생기는 차익금을 노리고 실물 없이 주식을 사는 사람.,이번 규제를 통해 OO가 시장에 강한 메시지를 보낸 후 실제로 몇몇 공매자들은 이미 공매도한 포지션을 주식 매수를 통해 청산했다.
공모,새로 주식이나 사채 따위를 발행할 때에 특정 거래처나 은행 등을 통하지 아니하고 일반에 공개하여 모집하는 일.,OO을 비롯한 총 34개 기업이 4월 말부터 5월까지 코스닥 등록을 위한 공모 일정을 잡아 놓고 있어 5월 중 공모 러시를 예고하고 있다.
공모가,특정 거래처나 은행 등을 통하지 아니하고 다수의 일반에게 매입자를 구하는 주식이나 사채 따위의 가격.,주식 공모에서 주관사가 공모가를 자율적으로 결정할 수 있다.
공모발행,새로 주식이나 사채 따위를 발행할 때에 특정 거래처나 은행 등을 통하지 아니하고 다수의 일반으로부터 모집하는 일.,"펀드 상품 광고에서 적립식 펀드, 성장형 펀드, 공모발행 등 다양한 문구를 볼 수 있다."
공모주,일반에게 널리 투자할 사람을 구하여 발행하는 주식.,아버님께서 A사 공모주를 오천 원씩 6주를 매수했는데 그 후 증서도 잃어 버리고 까먹고 계셨다고 합니다.
공모채,"일반에게 널리 모집하여 발행하는 국채, 지방채, 사채 따위의 채권.",해외 공모채 발행을 통해 저비용 자금 조달로 경쟁력을 키울 방침입니다.
공보험,국가 또는 공적(公的) 기관이 운영하는 보험.,시민 단체들의 공보험에 대한 보험 급여 확대의 목소리가 날로 커지고 있다.
공사보험,공보험과 사보험을 아울러 이르는 말.,한국은행 금융감독원 산업은행 수출입은행 예금보험공사 등 국책 금융 기관의 입사 시험이 대학가에서 ‘금융 고시’로 통하고 있다.
공사부담금,"여러 사람들의 편의를 위한 시설을 설치하고자, 그 시설로 인하여 편익을 받는 사람들로부터 거두어들이는 돈이나 자산.",이번에 도시가스가 들어오는데 공사부담금이 너무 비싸더라.
공사채,"자금의 수요자가 채무자(債務者)로서 발행하는 공채와 사채를 아울러 이르는 말. 국채, 지방채, 금융채, 사업채 따위가 있다.",지금 우리 회사에서 발행한 공사채가 얼마인 줄 알아?
공사합영,"사회주의 국가에서, 국가와 민간이 공동으로 투자ㆍ경영하는 일. 또는 그런 기업. 중국이 자본주의에서 사회주의로의 과도적 경제 제도로서 취한 국가 자본주의의 한 형태이다.",중국 정부는 수백만의 수공업자들을 수공업 생산 합작사로 조직하여 사기업을 공사합영 기업으로 바꾸어 나갔다.
공선복,선박에서 화물의 특성에 따라 적재할 수 없는 공간.,여긴 공선복이에요.
공수,일정한 작업에 필요한 인원수를 노동 시간 또는 노동일로 나타낸 수치. 이를 토대로 표준 노무비를 산출하여 원가 관리의 참고 자료로 이용한다.,공수가 맞아야 공급자들도 먹고살지.
공수표,은행에 거래가 없거나 거래가 정지된 사람이 발행한 수표.,김 사장은 공수표를 발행하고 종적을 감췄다.
공시가액,공개적으로 게시하여 일반에게 널리 알리는 금액.,개인별로 전국에 보유한 주택 공시가액을 합한 금액이 9억 원을 초과할 때만 종부세가 과세된다.
공시율,시중의 지표 금리와 상관하여 예정 이율을 적용할 수 있도록 공표하는 변동 이율.,금감원은 그러나 대부분의 보험사들이 운용 자산 이익률과 관계없이 공시 이율을 정하면서 실제 운용 자산 수익률이 공시율을 밑돌아 경영 악화가 우려되는 상황이 발생하고 있다고 밝혔다.
공시표,"증권 거래소에서, 매일매일 거래의 종별마다 거래원과 회원의 수도(受渡) 기일별로 그 매매고를 발표하는 표.",공시표를 보면 이 주식은 안돼요.
공신용,국가의 지급 의사와 지급 능력에 대한 대부 자본가ㆍ자금 소유자의 신뢰.,공신용도 없는 주제에 무슨.
공어음,실제의 상거래가 없이 순수하게 자금을 조달하려고 발행한 어음.,김 씨는 공어음 발행 혐의로 구속되었다.
공업주,공업과 관련된 주식.,지난주 금융주는 1.2% 떨어지며 1.4% 하락한 공업주에 전체 종목 가운데 두 번째 큰 낙폭을 작성했다.
공유재,공공재 가운데 소비는 경합적이나 배제에 따른 비용 부담이 과중하여 배제의 원칙이 적용되기 어려운 재화.,이건 공유재에요. 독점하지 마세요.
공익채,공공 기관이 공익적 수익 사업에 필요한 자금을 조달하기 위하여 발행하는 채권.,공익채가 있어야지 공사를 하던 말던 하죠.
공자위,‘공적 자금 관리 위원회’를 줄여 이르는 말.,김 국장은 대통령 비서실에 파견됐다가 지난해 9월 공모를 통해 공자위 사무국장을 맡았다.
공정가,국민의 경제생활을 안정시키기 위하여 법령에 따라 정부가 통제하고 결정한 상품의 가격.,석 달 넉 달이나 걸려서 겨우 해운 관청에 가 수첩을 발부받으려면 또 얼토당토않게 손을 내민다. 공정가란 게 있어 안 건네줄 수가 없다.
공제공,"부분 공개 매수 등을 하는 경우에, 대상 기업의 주주가 공개 매수에 대한 청약 경쟁률을 감안하여 자신이 보유하고 있는 주식 이상으로 공개 매수에 응하는 일.",
공주,차금 매매에서 실제로 주고받지 아니하고 거래되는 주식.,공주로 퉁칩시다.
공채,국가나 지방 자치 단체가 공채의 채권자에게 주는 증권.,내년부터는 우리 정부에서도 공채를 갚을 예산을 편성하기로 하였다.
공채비,"공채 모집, 이자 지급, 상환 따위에 필요한 비용.",공채비가 밀려있어요.
공채증권,국가나 지방 자치 단체가 공채의 채권자에게 주는 증권.,일본 정부에서 그 경비 삼천만 환의 공채증권을 발행하기로 내정하였다더라.
공채증서,국가나 지방 자치 단체가 공채의 채권자에게 주는 증권.,급하게 돈이 필요한 이 씨는 김 씨에게 공채증서를 헐값에 넘겼다.
공판,‘공동 판매’를 줄여 이르는 말.,공판에 오른 이가환이었다.
공판장,‘공동 판매장’을 줄여 이르는 말.,공판장에서 우리 지역 쌀이 가장 많이 팔린다고 한다.
과매도,주가 폭락으로 인하여 투자자들이 보유한 주식을 적정 수준 이상으로 매도하는 현상.,반면 정보 기술 업종의 상대 이격도는 코스피의 움직임과 높은 괴리율을 기록하며 과매도 국면을 나타내고 있다.
과매수,주가 폭등으로 인하여 투자자들이 주식을 적정 수준 이상으로 매수하는 현상.,과매수 현상이 심하게 일어나고 있다.
과불,은행에서 당좌 예금의 잔액을 초과하여 지불하여 주는 일.,은행에서 나한테 과불을 했어.
과열권,지나치게 경기가 상승하거나 거래가 늘어난다고 판단하는 범위.,"이처럼 주가가 수직 상승, 최근 5개월 평균 지수를 웃돌게 되자 단기 과열권 진입에 따른 경계 심리도 확산되고 있다."
과점,몇몇 기업이 어떤 상품 시장의 대부분을 지배하는 상태.,자유로운 경쟁을 제한하는 행위로는 공급의 독점이나 과점 행위를 들 수 있다.
과점적,몇몇 기업이 어떤 상품 시장의 대부분을 지배하는. 또는 그런 것.,이 회사의 최대 장점은 과점적 시장에서 꾸준히 성장한다는 점이다.
과점화,몇몇 기업이 어떤 상품 시장의 대부분을 지배하는 상태가 됨. 또는 그런 상태가 되게 함.,휴대폰 시장은 애플과 삼성의 과점화다.
관계재,특허권ㆍ미장권(美匠權)ㆍ영업권과 같이 물적인 것은 아니지만 널리 양도ㆍ매매ㆍ담보의 대상이 되어 경제재에 준하는 것으로 생각되는 재(財).,
관찰국,세계 증권 시장에서 주가 지수가 선진국 지수에 편입할 조건을 갖추었는지를 검토하고 관찰하는 대상이 되는 국가.,2004년 9월 공식 관찰국으로 지정된 한국과 대만 증시는 작년 9월에도 선진국 시장 편입이 무산된 바 있으며 내년 9월에 세 번째로 도전하게 된다.
광역권,1929년 이후의 세계 공황 때에 자본주의 열강이 설정한 블록 경제에 의한 경제권.,해양 바이오산업은…강릉 광역권 인프라의 중심화 및 고도화를 통한 국제적 해양 바이오 거점 구축 등을 목표로 하고 있다.
광열비,전등을 켜고 난방을 하는 데 드는 비용.,"가계의 소비 지출은 보통 식료품비, 주거비, 광열비, 피복비, 잡비 등으로 구분된다."
괘금,‘보험료’의 전 용어.,괘금이 너무 올라 내기 힘들다
괘선,주가(株價)의 변동을 모눈종이에 나타낸 선.,"워드 프로세서에서는 괘선, 글꼴, 색상 등을 문서에 표현할 수 있다."
괴리율,"목표 주가와 현재 주가와의 가격 차이, 전환 사채의 시장 가격과 전환 사채를 주식으로 전환할 때의 전환 가격 간의 가격 차이 따위를 백분율로 나타낸 것이다.",반면 정보 기술 업종의 상대 이격도는 코스피의 움직임과 높은 괴리율을 기록하며 과매도 국면을 나타내고 있다.
교란항,"회귀 분석에서, 모집단의 회귀선 주변에서 나타나는 오차 항.",교란항은 배제해야죠.
교섭력,구매자와 공급자 또는 구매 기업과 판매 기업 사이의 협상 과정에서 상대방을 교섭하는 능력.,노동계는 대체 근로의 경우 파업을 무력화함으로써 노조 교섭력을 떨어뜨린다는 점에서 반대해 왔다.
교역재,나라와 나라 사이에서 물건을 사고팔고 하여 서로 바꿀 수 있는 재화. 자동차나 전자 제품과 같은 공산품이 대표적인 예이다.,
교환끝,어음 교환소에서 어음을 교환할 때 생기는 차액.,교환끝좀 챙겨주세요.
구권,일정한 금액을 일정한 날짜와 장소에서 치를 것을 약속하거나 제삼자에게 그 지급을 위탁하는 유가 증권. 약속 어음과 환어음이 있다.,부동산을 매매할 때에는 매도 증서에 반드시 구권도 첨부해야 한다.
구매력,개인이나 단체가 물품이나 노동력을 살 수 있는 능력.,최근 구매력이 높은 소비자를 위한 고급 승용차가 많이 출시되고 있다.
연속일,아무런 조건이 붙어 있지 않는 날,정부의 공기업 민영화 정책은 기본적으로 당국이 무원칙적으로 추진해 왔기 때문에 시행착오의 연속일 수밖에 없었으며 따라서 원칙부터 전면 재검토해야 한다는 주장이 제기됐다
연조,시세가 내릴 기세에 있음.,연조를 들추어 보면 그 사건의 전모를 알 수 있을 것이다
